API v2.0.0
Time,P4,Fz,Pz,P3,PO8,PO7,Oz,Trial,Num_Sequences,Sequence,Tag,Label,Flash_Event
1.356630,-707.952000,-101.661051,-683.084126,-855.674768,-654.373899,-176.930773,-915.545577,0,6,0,0,0,0
1.360641,-698.621000,-99.837368,-673.753126,-845.744487,-639.056519,-160.403550,-903.818114,0,6,0,0,0,0
1.364609,-694.407000,-100.127758,-670.437964,-841.230846,-625.862949,-154.090652,-902.300135,0,6,0,0,0,0
1.368596,-695.009000,-89.018343,-670.141126,-840.933925,-632.451329,-160.689504,-908.893291,0,6,0,0,0,0
1.372597,-689.591000,-88.104734,-663.824287,-836.414846,-625.836053,-141.478745,-895.686788,0,6,0,0,0,0
1.376590,-688.387000,-87.801612,-658.126092,-828.019474,-620.740906,-109.091115,-886.095168,0,6,0,0,0,0
1.380570,-689.290000,-88.104026,-661.725609,-833.417082,-616.555483,-126.785301,-898.980482,0,6,0,0,0,0
1.384618,-692.300000,-92.915783,-677.319353,-847.214140,-629.143691,-174.172004,-909.179870,0,6,0,0,0,0
1.388547,-695.009000,-83.613075,-672.238416,-843.331049,-634.546562,-160.389661,-915.483563,0,6,0,0,0,0
1.392533,-694.106000,-91.718856,-676.129223,-847.821578,-631.548329,-160.086347,-910.386754,0,6,0,0,0,0
1.396524,-689.591000,-91.708246,-675.509192,-848.999748,-620.148992,-156.171032,-910.664679,0,6,0,0,0,0
1.400510,-688.387000,-91.705417,-671.009449,-844.200062,-626.128648,-141.773958,-898.676597,0,6,0,0,0,0
1.404499,-696.514000,-89.622465,-671.046900,-846.933532,-634.255648,-136.108199,-916.389448,0,6,0,0,0,0
1.408490,-681.765000,-78.476978,-660.192868,-832.783813,-621.302562,-130.954162,-892.953271,0,6,0,0,0,0
1.412492,-687.785000,-76.689368,-667.111707,-839.103454,-633.608261,-139.372902,-920.241877,0,6,0,0,0,0
1.416478,-689.591000,-76.693611,-670.116159,-846.302983,-630.625157,-154.072134,-914.558931,0,6,0,0,0,0
1.420456,-691.397000,-75.496684,-668.326803,-850.506107,-634.526390,-156.477819,-907.977312,0,6,0,0,0,0
1.424445,-687.484000,-70.082221,-663.514964,-844.195983,-632.708623,-151.965134,-899.271386,0,6,0,0,0,0
1.428447,-683.872000,-61.064952,-661.401029,-841.782545,-613.831354,-145.054865,-906.743026,0,6,0,0,0,0
1.432483,-678.153000,-59.249757,-659.876610,-836.962467,-603.921888,-149.530513,-902.222257,0,6,0,0,0,0
1.436417,-695.912000,-69.501440,-669.546061,-843.634768,-641.136623,-151.997541,-912.791870,0,6,0,0,0,0
1.440420,-695.310000,-66.497099,-667.146383,-840.036363,-641.133261,-156.193023,-914.586332,0,6,0,0,0,0
1.444392,-698.320000,-72.510026,-669.557157,-840.948879,-650.129641,-142.711680,-919.094121,0,6,0,0,0,0
1.448401,-692.902000,-62.887928,-664.438770,-837.029082,-630.344329,-147.188486,-917.270815,0,6,0,0,0,0
1.452379,-693.203000,-54.780732,-660.844802,-835.831879,-641.420813,-139.393736,-912.479332,0,6,0,0,0,0
1.456361,-688.688000,-51.466903,-658.726705,-830.417958,-638.402408,-130.081254,-906.766101,0,6,0,0,0,0
1.460351,-684.775000,-61.067074,-660.506351,-834.295611,-627.904390,-137.562273,-902.853101,0,6,0,0,0,0
1.464343,-682.367000,-61.962294,-657.499126,-833.985094,-621.605243,-138.752384,-910.330509,0,6,0,0,0,0
1.468359,-680.561000,-62.258343,-658.090029,-837.272983,-618.003329,-149.839615,-907.026720,0,6,0,0,0,0
1.472329,-678.755000,-62.854684,-652.089448,-829.773813,-619.489838,-126.744791,-889.643713,0,6,0,0,0,0
1.476309,-673.939000,-58.639270,-653.864933,-825.557094,-616.469752,-123.727847,-887.224176,0,6,0,0,0,0
