[2019/01/19][16:02:26:267][WARNING]	: Duplicate record detected: 32.046422,
[2019/01/19][16:02:26:267][WARNING]	: Duplicate record detected: 32.046422,
[2019/01/19][16:02:26:295][WARNING]	: Sensors supplied duplicate data at time 32.5764 (classHeadset)
[2019/01/19][16:02:26:325][WARNING]	: Sensors supplied duplicate data at time 32.5931 (classHeadset)
[2019/01/19][16:02:26:325][WARNING]	: Sensors supplied duplicate data at time 32.5964 (classHeadset)
[2019/01/19][16:02:26:325][WARNING]	: Sensors supplied duplicate data at time 32.5998 (classHeadset)
[2019/01/19][16:02:26:325][WARNING]	: Sensor 0 stuck at time 32.6031 (classHeadset)
[2019/01/19][16:02:26:325][WARNING]	: Sensor 1 stuck at time 32.6031 (classHeadset)
[2019/01/19][16:02:26:325][WARNING]	: Sensor 2 stuck at time 32.6031 (classHeadset)
[2019/01/19][16:02:26:325][WARNING]	: Sensor 3 stuck at time 32.6031 (classHeadset)
[2019/01/19][16:02:26:325][WARNING]	: Sensor 4 stuck at time 32.6031 (classHeadset)
[2019/01/19][16:02:26:325][WARNING]	: Sensor 5 stuck at time 32.6031 (classHeadset)
[2019/01/19][16:02:26:325][WARNING]	: Sensors supplied duplicate data at time 32.6031 (classHeadset)
[2019/01/19][16:02:26:325][WARNING]	: Sensor 0 stuck at time 32.6064 (classHeadset)
[2019/01/19][16:02:26:325][WARNING]	: Sensor 1 stuck at time 32.6064 (classHeadset)
[2019/01/19][16:02:26:325][WARNING]	: Sensor 2 stuck at time 32.6064 (classHeadset)
[2019/01/19][16:02:26:325][WARNING]	: Sensor 3 stuck at time 32.6064 (classHeadset)
[2019/01/19][16:02:26:325][WARNING]	: Sensor 4 stuck at time 32.6064 (classHeadset)
[2019/01/19][16:02:26:325][WARNING]	: Sensor 5 stuck at time 32.6064 (classHeadset)
[2019/01/19][16:02:26:325][WARNING]	: Sensors supplied duplicate data at time 32.6064 (classHeadset)
[2019/01/19][16:02:26:325][WARNING]	: Sensor 0 stuck at time 32.6098 (classHeadset)
[2019/01/19][16:02:26:325][WARNING]	: Sensor 1 stuck at time 32.6098 (classHeadset)
[2019/01/19][16:02:26:325][WARNING]	: Sensor 2 stuck at time 32.6098 (classHeadset)
[2019/01/19][16:02:26:325][WARNING]	: Sensor 3 stuck at time 32.6098 (classHeadset)
[2019/01/19][16:02:26:325][WARNING]	: Sensor 4 stuck at time 32.6098 (classHeadset)
[2019/01/19][16:02:26:325][WARNING]	: Sensor 5 stuck at time 32.6098 (classHeadset)
[2019/01/19][16:02:26:325][WARNING]	: Sensors supplied duplicate data at time 32.6098 (classHeadset)
[2019/01/19][16:02:26:325][WARNING]	: Sensor 0 stuck at time 32.6131 (classHeadset)
[2019/01/19][16:02:26:325][WARNING]	: Sensor 1 stuck at time 32.6131 (classHeadset)
[2019/01/19][16:02:26:325][WARNING]	: Sensor 2 stuck at time 32.6131 (classHeadset)
[2019/01/19][16:02:26:325][WARNING]	: Sensor 3 stuck at time 32.6131 (classHeadset)
[2019/01/19][16:02:26:325][WARNING]	: Sensor 4 stuck at time 32.6131 (classHeadset)
[2019/01/19][16:02:26:325][WARNING]	: Sensor 5 stuck at time 32.6131 (classHeadset)
[2019/01/19][16:02:26:325][WARNING]	: Sensors supplied duplicate data at time 32.6131 (classHeadset)
[2019/01/19][16:02:26:355][WARNING]	: Sensor 0 stuck at time 32.6164 (classHeadset)
[2019/01/19][16:02:26:355][WARNING]	: Sensor 1 stuck at time 32.6164 (classHeadset)
[2019/01/19][16:02:26:355][WARNING]	: Sensor 2 stuck at time 32.6164 (classHeadset)
[2019/01/19][16:02:26:355][WARNING]	: Sensor 3 stuck at time 32.6164 (classHeadset)
[2019/01/19][16:02:26:355][WARNING]	: Sensor 4 stuck at time 32.6164 (classHeadset)
[2019/01/19][16:02:26:355][WARNING]	: Sensor 5 stuck at time 32.6164 (classHeadset)
[2019/01/19][16:02:26:355][WARNING]	: Sensors supplied duplicate data at time 32.6164 (classHeadset)
[2019/01/19][16:02:26:355][WARNING]	: Sensor 0 stuck at time 32.6198 (classHeadset)
[2019/01/19][16:02:26:355][WARNING]	: Sensor 1 stuck at time 32.6198 (classHeadset)
[2019/01/19][16:02:26:355][WARNING]	: Sensor 2 stuck at time 32.6198 (classHeadset)
[2019/01/19][16:02:26:355][WARNING]	: Sensor 3 stuck at time 32.6198 (classHeadset)
[2019/01/19][16:02:26:355][WARNING]	: Sensor 4 stuck at time 32.6198 (classHeadset)
[2019/01/19][16:02:26:355][WARNING]	: Sensor 5 stuck at time 32.6198 (classHeadset)
[2019/01/19][16:02:26:355][WARNING]	: Sensors supplied duplicate data at time 32.6198 (classHeadset)
[2019/01/19][16:02:26:355][WARNING]	: Sensor 0 stuck at time 32.6231 (classHeadset)
[2019/01/19][16:02:26:355][WARNING]	: Sensor 1 stuck at time 32.6231 (classHeadset)
[2019/01/19][16:02:26:355][WARNING]	: Sensor 2 stuck at time 32.6231 (classHeadset)
